"Name","Score","NewScore"
"String","IntArray","IntArray"
"Seasonal",10000,10000
,10100,10100
,10200,10200
,10300,10300
,10400,10400
,10500,10400
,10600,10500
,10700,10500
,10800,10600
,10900,10600
,11000,10700
,11100,10700
,11200,10700
,11300,10800
,11400,10800
,11500,10800
,11600,10900
,11700,10900
,11800,10900
,11900,10900
,12000,11000
,12100,11000
,12200,11000
,12300,11100
,12400,11100
,12500,11100
,12600,11200
,12700,11200
,12800,11200
,12900,11300
,13000,11300
,13100,11300
,13200,11400
,13300,11400
,13400,11400
,13500,11500
,13600,11500
,13700,11500
,13800,11600
,13900,11600
,14000,11600
,14100,11700
,14200,11700
,14300,11700
,14400,11800
,14500,11800
,14600,11800
,14700,11900
,14800,11900
,14900,11900
,15000,12000
